Country,Place_Name,Latitude,Longitude
DE,Osnabr<fc>ck,52.2667,8.05
DE,Emden,53.3701,7.2031
DE,Bremen,53.0711,8.8317
DE,Bremen,53.0926,8.8073
DE,Osterholz-scharmbeck,53.2333,8.8
DE,Bremen,53.1728,8.7135
DE,Ganderkesee,53.0333,8.5333
DE,Bremen,53.0687,8.8697
DE,Lingen,52.5223,7.3284
DE,Wilhelmshaven,53.577,8.1021
DE,Bremerhaven,53.5545,8.5933
DE,Hildesheim,52.1531,9.9555
DE,Landau,49.2075,8.1133
DE,Oldenburg,53.1599,8.205
DE,Bremerhaven,53.5286,8.5907
DE,Cottbus,51.7324,14.3347
DE,Altenburg,50.9815,12.4361
DE,Chemnitz,50.8203,12.9056
DE,Glauchau,50.8224,12.5305
DE,Zwickau,50.7439,12.4781
DE,Meerane,50.8167,12.45
DE,Heidelberg,49.3757,8.6911
DE,Saarbr<fc>cken,49.2333,7.0
DE,Merzig,49.4471,6.6312
DE,Kaiserslautern,49.4495,7.7948
DE,Bretten,49.0342,8.716000000000001
DE,Traunstein,47.87,12.6388
DE,Traunreut,47.9552,12.5924
DE,Kempten,47.7229,10.3288
DE,Erding,48.3001,11.9082
DE,Karlsfeld,48.2292,11.4547
DE,Hennigsdorf,52.6372,13.205
DE,Oberhausen,51.4706,6.8568
DE,Radebeul,51.1062,13.6515
DE,Frankfurt Am Main,50.1019,8.6342
DE,Karlsruhe,48.9661,8.4043
DE,Bielefeld,52.044,8.5225
DE,Munich,48.138000000000005,11.507
DE,Meldorf,54.0833,9.0833
DE,Halberstadt,51.8883,11.0572
DE,Plauen,50.4942,12.1353
DE,Eisenach,50.9744,10.3341
DE,Grimma,51.2386,12.7293
DE,Chemnitz,50.8197,12.9403
DE,Markkleeberg,51.2615,12.3708
DE,Saalfeld,50.6167,11.3167
DE,Leipzig,51.3254,12.3341
DE,Sta<df>furt,51.8167,11.5667
DE,Blankenburg,51.7833,10.95
DE,Bayreuth,49.9431,11.5592
DE,Zeulenroda,50.6333,11.9667
DE,Schleusingen,50.5333,10.6833
DE,Erfurt,50.9833,11.0333
DE,W<fc>rzburg,49.8118,9.9635
DE,W<fc>rzburg,49.7802,9.9416
DE,Lemgo,52.0277,8.9043
DE,Bad Salzuflen,52.0692,8.7598
DE,Paderborn,51.7171,8.7417
DE,Recklinghausen,51.6167,7.2
DE,Gelsenkirchen,51.5185,7.1222
DE,Weimar,50.9833,11.3167
DE,Ulm,48.3981,9.97
DE,Nideggen,50.7,6.4833
DE,K<f6>ln,50.961000000000006,6.9544
DE,K<f6>ln,50.9333,6.95
DE,Bergisch Gladbach,50.9655,7.1823
DE,Kerpen,50.8964,6.6829
DE,Sankt Augustin,50.7794,7.1868
DE,K<f6>ln,50.9525,6.9571
DE,K<f6>ln,50.9578,7.0056
DE,Menden,51.4553,7.7764
DE,Bergheim,50.9741,6.6794
DE,Hagen,51.3801,7.4394
DE,Schwelm,51.2904,7.2972
DE,Remscheid,51.1833,7.2
DE,Jena,50.8833,11.5167
DE,L<fc>nen,51.6067,7.5241
DE,Bochum,51.5156,7.2118
DE,Siegen,50.8734,8.0104
DE,Wuppertal,51.2498,7.1239
DE,Lotte,52.2833,7.9167
DE,Emsdetten,52.1602,7.5329
DE,Dortmund,51.5251,7.5475
DE,Dortmund,51.501000000000005,7.3371
DE,Dortmund,51.5287,7.4137
DE,Hemer,51.3756,7.7697
DE,Schwerte,51.4418,7.5683
DE,Bielefeld,52.0245,8.5326
DE,Bielefeld,52.0333,8.5333
DE,Netphen,50.8998,8.1513
DE,Kiel,54.3205,10.051
DE,Hamburg,53.566,9.9116
DE,Limburg,50.383,8.0611
DE,Friedrichsdorf,50.2785,8.6549
DE,Potsdam,52.3744,13.0102
DE,Hamburg,53.6068,10.0474
DE,Heidelberg,49.4169,8.6764
DE,Delitzsch,51.5252,12.3376
DE,Bergen,52.8095,9.9622
DE,Ostrhauderfehn,53.1333,7.6167
DE,D<fc>lmen,51.8433,7.2948
DE,Bruchsal,49.1203,8.599
DE,Bad Vilbel,50.1764,8.7358
DE,Dasing,48.3833,11.05
DE,Bremen,53.123999999999995,8.7464
DE,Homberg,50.7333,9.0
DE,Dorsten,51.7377,7.0067
DE,Strullendorf,49.8452,10.9622
DE,Neumarkt,49.2801,11.4582
DE,Warendorf,51.95,7.9833
DE,Pfronten,47.5783,10.5618
DE,Kerpen,50.8791,6.6939
DE,Frechen,50.9133,6.8152
DE,Vlotho,52.1667,8.85
DE,Braunschweig,52.2258,10.5271
DE,Braunschweig,52.2647,10.5233
DE,Frankfurt Am Main,50.1454,8.6761
DE,Wald-michelbach,49.57,8.8317
DE,Rohr,48.7667,11.9667
DE,Dinslaken,51.559,6.7357
DE,Neunkirchen,49.3366,7.2191
DE,Rehlingen-siersburg,49.3667,6.6833
DE,Lindlar,51.0332,7.3665
DE,Puchheim,48.169,11.350999999999999
DE,Planegg,48.1,11.4167
DE,Munich,48.1595,11.4932
DE,Wedel,53.5837,9.7234
DE,Berlin,52.5285,13.4109
DE,Unterschlei<df>heim,48.2708,11.575999999999999
DE,Trossingen,48.0762,8.624
DE,Werdau,50.7167,12.3667
DE,Wasserburg,48.0667,12.2333
DE,Schmallenberg,51.145,8.2983
DE,Winterberg,51.2291,8.5283
DE,Sundern,51.3329,8.0076
DE,Dortmund,51.5044,7.4998
DE,Menden,51.4408,7.7887
DE,Berlin,52.4924,13.3908
DE,Berlin,52.4667,13.4884
DE,Hagen,51.3657,7.5207
DE,K<f6>ln,50.9318,6.9715
DE,Fulda,50.5569,9.6431
DE,Jena,50.9326,11.5868
DE,Tettnang,47.6689,9.5909
DE,Frankfurt Am Main,50.1026,8.6895
DE,Weiding,49.2667,12.7667
DE,Marl,51.6744,7.1343
DE,Allershausen,48.4329,11.5881
DE,Rietberg,51.8149,8.4278
DE,Goch,51.6842,6.1487
DE,Tacherting,48.0833,12.5667
DE,Ruhland,51.4,14.0
DE,Leipzig,51.3332,12.4195
DE,Neukirchen,47.8333,12.7333
DE,Hamburg,53.5481,10.0194
DE,Trostberg,48.0175,12.5346
DE,M<f6>nchengladbach,51.1723,6.3414
DE,Offenbach,50.1069,8.7344
DE,Finnentrop,51.1667,7.9667
DE,Hamburg,53.5666,9.98
DE,T<fc>bingen,48.5166,9.0581
DE,Dorsten,51.6566,6.9657
DE,Geretsried,47.8695,11.4687
DE,Greifswald,54.0902,13.4464
DE,Oldenburg,53.1156,8.2159
DE,Bremen,53.0859,8.8549
DE,Westerstede,53.2401,7.9158
DE,Selsingen,53.3667,9.2167
DE,Spiekeroog,53.7705,7.6959
DE,Strausberg,52.5578,13.8757
DE,Thedinghausen,52.9333,8.9667
DE,Eitorf,50.775,7.4403
DE,Schneeberg,50.6002,12.6264
DE,Mittweida,50.9667,12.95
DE,D<fc>sseldorf,51.2216,6.7897
DE,K<f6>then,51.7503,11.978
DE,Paderborn,51.7273,8.7706
DE,Kassel,51.2988,9.5297
DE,Freiburg,47.9942,7.847
DE,Usingen,50.349,8.5322
DE,Wehrheim,50.2945,8.5683
DE,Prenzlau,53.3167,13.8667
DE,Eberswalde,52.8342,13.8218
DE,Waltenhofen,47.6667,10.3
DE,Solingen,51.156000000000006,7.0152
DE,Dormagen,51.126999999999995,6.8068
DE,Neuruppin,52.9108,12.7946
DE,Hamburg,53.5843,10.0266
